FFQ	39	0	0	2	0	0	0	0	0	0	0	0	0	25	61	4807	3024	8715	6558	3964	1	7918	3	0	0	9	25	13	41	1	2544	5310	197	8268	15291	4515	8632	18989	57672	67621	301197	0	0
FFQ	40	0	0	1	0	0	0	0	0	0	0	0	0	18	35	8124	860	13234	905	1035	4	6453	0	0	0	4	28	23	23	1	2005	3980	53	12562	9484	5916	6760	30721	73250	113500	236424	0	0
FFQ	41	0	0	1	0	0	0	0	0	0	0	0	0	27	28	1202	4153	5033	4747	9069	2	4586	0	0	0	5	14	12	22	0	2079	2389	869	4339	18164	4313	9068	16364	64274	72320	302323	0	0
FFQ	42	0	0	1	0	0	0	0	0	0	0	0	0	30	46	6959	676	13532	1152	6455	1	1888	0	0	0	5	37	13	28	0	1850	3640	1236	8367	12421	10189	1966	23671	55473	75091	300676	0	0
FFQ	43	0	0	1	0	0	0	0	0	0	0	0	0	40	49	1357	438	12059	1314	1891	419	8609	0	0	0	5	30	52	39	2	418	476	2863	3849	14782	1311	12993	14104	64783	81753	301766	0	0
FFQ	44	0	0	1	0	0	0	0	0	0	0	0	0	159	70	1247	4961	8846	1486	2514	40	7770	0	0	0	3	51	29	33	1	944	869	2134	4350	12187	3242	9938	10262	55221	66160	332885	0	0
FFQ	45	0	0	3	0	0	0	0	0	0	0	0	0	67	132	10391	1826	5250	720	3806	27	724	0	0	0	25	46	65	80	2	7279	5045	4207	3978	7322	11002	4190	48671	38080	209670	162795	0	0
FFQ	46	0	0	2	0	0	0	0	0	0	0	0	0	62	32	10793	1330	5921	1243	503	2	1669	0	0	0	25	46	46	73	5	3696	7902	3627	8206	3907	14447	5993	62263	26887	355378	11345	0	0
FFQ	47	0	0	1	0	0	0	0	0	0	0	0	0	133	113	9704	1191	4394	954	471	1	809	0	0	0	23	46	35	59	5	3719	4125	3724	7686	3580	12798	1061	43291	25563	226612	175305	0	0
FFQ	48	0	0	0	0	0	0	0	0	0	0	0	0	87	63	13547	848	9128	557	283	317	338	0	0	0	40	67	50	44	11	3175	9928	2621	9688	2858	12864	8473	53956	25829	356969	13662	0	0
FFQ	49	0	0	1	0	0	0	0	0	0	0	0	0	103	126	11854	3096	6795	877	641	2	479	0	0	0	31	41	25	44	1	3741	6316	2689	11823	2468	14066	1238	56163	25103	269018	108662	0	0
FFQ	50	0	0	1	0	0	0	0	0	0	0	0	0	75	91	9596	7691	6630	343	639	8	705	0	0	0	50	42	60	114	15	3707	8073	3184	9902	4304	18866	1249	47365	35752	269605	97336	0	0
FFQ	51	0	0	0	0	0	0	0	0	0	0	0	0	61	33	6058	384	8051	948	3151	32	658	0	0	0	44	24	36	46	23	2305	6528	1734	5592	7309	7147	6820	39653	38322	273012	117429	0	0
FFQ	52	0	0	0	0	0	0	0	0	0	0	0	0	63	74	5170	1845	11608	1350	2459	60	682	0	0	0	55	29	38	43	5	2472	6290	1734	4340	9767	9248	6857	27205	44165	200769	189067	0	0
FFQ	53	0	0	1	0	0	0	0	0	0	0	0	0	39	91	4986	1869	8720	4297	2575	793	737	0	0	0	51	22	42	39	7	2353	5382	1444	5832	7805	7151	5567	32198	43476	204747	185170	0	0
FFQ	54	0	0	0	0	0	0	0	0	0	0	0	0	48	88	4150	7644	6683	807	5240	46	825	0	0	0	62	43	60	129	6	2484	5885	765	6685	10496	10072	4348	24952	49794	165240	218835	0	0
FFQ	55	0	0	0	0	0	0	0	0	0	0	0	0	59	101	5813	3951	5855	8560	556	143	6688	0	0	0	56	21	86	90	3	1665	2832	2739	5591	13874	6188	6656	24839	60047	80989	287984	0	0
FFQ	56	0	0	0	0	0	0	0	0	0	0	0	0	75	161	6072	5816	8091	8627	1551	266	6545	0	0	0	72	18	42	84	1	2676	4966	2914	2801	13556	5042	9173	32681	59220	116754	238178	0	0
FFQ	57	0	0	0	0	0	0	0	0	0	0	0	0	58	121	3619	6042	9258	2624	6560	22	839	0	0	0	46	27	59	177	3	3203	5844	2923	2360	17445	5485	7505	27379	60162	130424	233194	0	0
FFQ	58	0	0	0	0	0	0	0	0	0	0	0	0	80	130	4479	6393	9436	420	15804	31	348	0	0	0	72	41	57	185	0	2693	2881	2363	3598	18419	7492	3191	23342	59309	77587	286517	507	0
FFQ	59	0	0	0	0	0	0	0	0	0	0	0	0	66	128	1372	11009	11582	6519	4524	175	832	0	0	0	75	21	56	133	4	2424	3246	2211	7013	13687	7156	3772	14697	62808	75609	295702	552	0
FFQ	60	0	0	1	0	0	0	0	0	0	0	0	0	57	97	1034	7052	6573	706	5436	5245	334	0	0	0	60	13	44	76	14	2546	2630	1774	2210	20085	6236	3956	14072	64978	77677	302449	16	0
FFQ	61	0	0	0	0	0	0	0	0	0	0	0	0	42	116	5585	675	12393	3023	3240	5299	1875	0	0	0	59	14	60	70	4	833	1288	3473	4477	15097	3853	6054	23128	53491	79017	301663	535	0
FFQ	62	0	0	1	0	0	0	0	0	0	0	0	0	113	43	7240	1006	10060	3507	12637	642	1240	0	0	0	70	24	60	170	12	1169	1950	4756	3955	15411	4635	5522	20328	52735	72328	305723	20	0
FFQ	63	0	0	0	0	0	0	0	0	0	0	0	0	78	138	1745	6019	10897	4178	6470	10041	1001	0	0	0	80	27	61	240	11	1663	2306	3772	940	22224	3930	7389	14555	66661	73768	287157	3	0
FFQ	64	0	0	1	0	0	0	0	0	0	0	0	0	72	137	1318	7280	10897	646	11523	6550	568	0	0	0	85	19	60	227	6	1919	2437	3926	3303	17553	5892	5012	13142	63860	72390	296528	0	0
FFQ	65	0	0	0	0	0	0	0	0	0	0	0	0	54	93	5518	1111	10817	743	16787	4214	505	0	0	0	78	18	82	338	2	2670	5627	4031	2994	19714	6138	6559	36001	64199	127387	209665	2	0
FFQ	66	0	0	0	0	0	0	0	0	0	0	0	0	81	244	23587	4849	11123	332	1144	4130	227	0	0	0	82	21	43	403	3	4914	18422	1444	8367	6345	9958	4853	41000	48967	129099	205708	0	0
FFQ	67	0	0	0	0	0	0	0	0	0	0	0	0	107	115	10904	13204	5291	468	4931	161	208	0	0	0	82	43	43	546	3	6603	7033	3617	5936	14501	13162	2273	29136	61831	129054	216090	0	0
FFQ	68	0	0	0	0	0	0	0	0	0	0	0	0	43	146	10739	4618	11789	5104	3070	195	135	0	0	0	75	27	55	570	3	5189	11326	240	5826	14531	9956	3999	39575	56402	109286	232441	1	0
FFQ	69	0	0	1	0	0	0	0	0	0	0	0	0	76	175	15404	8434	4374	369	5037	69	101	0	0	0	76	25	85	876	5	8031	7279	4510	5216	9308	12636	432	42763	51221	108542	240289	6	0
FFQ	70	0	0	0	0	0	0	0	0	0	0	0	0	67	106	10079	2050	5744	1402	2693	979	140	0	0	0	88	15	58	334	7	4719	9796	564	4588	11748	5997	4798	38174	54180	119555	247451	3	0
FFQ	71	0	0	1	0	0	0	0	0	0	0	0	0	60	60	2199	9002	9790	4323	11043	89	286	0	0	0	83	24	75	787	4	1893	2951	1488	822	26927	9128	1271	16471	65996	79242	281313	3	0
FFQ	72	0	0	1	0	0	0	0	0	0	0	0	0	53	57	1862	8726	16128	2742	9667	814	135	0	0	0	68	31	56	1735	2	2437	5251	2041	3644	28355	7512	3789	13399	65452	75051	276319	0	0
FFQ	73	0	0	2	0	0	0	0	0	0	0	0	0	44	36	1521	14493	3135	4350	5785	583	244	0	0	0	66	32	84	1560	7	2553	4630	862	2280	30595	9727	906	13316	68672	76009	283804	0	0
FFQ	74	0	0	0	0	0	0	0	0	0	0	0	0	68	62	12860	4768	10988	8547	6696	812	100	0	0	0	83	37	77	2092	5	3083	10800	945	6057	18679	9326	9159	29951	57264	138303	194502	0	0
FFQ	75	0	0	0	0	0	0	0	0	0	0	0	0	49	48	3685	10862	15320	1571	7924	541	850	0	0	0	74	11	72	2333	2	1532	8908	648	4820	23783	7145	4165	15844	74282	127939	212850	0	0
FFQ	76	0	0	0	0	0	0	0	0	0	0	0	0	50	54	12956	2486	14566	1240	5587	3682	402	0	0	0	76	18	56	1434	0	2534	10230	693	5600	14966	7351	4834	26114	61771	129648	218901	0	0
FFQ	77	0	0	1	0	0	0	0	0	0	0	0	0	61	60	11893	916	17788	848	8243	598	438	0	0	0	99	29	100	2717	8	1470	11514	2016	5266	12353	8691	7459	33818	49252	140143	209458	0	0
FFQ	78	0	0	0	0	0	0	0	0	0	0	0	0	81	75	12279	6175	6164	5992	4029	4754	360	0	0	0	90	22	107	1850	5	1458	6533	2008	4959	15738	8380	2753	22815	54320	71321	292965	0	0
FFQ	79	0	0	1	0	0	0	0	0	0	0	0	0	99	65	8590	1368	14468	1482	10957	1434	384	0	0	0	61	16	59	992	8	2139	6851	1916	5081	12033	4862	5860	23741	48950	70875	302933	0	0
FFQ	80	0	0	1	0	0	0	0	0	0	0	0	0	51	33	4195	8946	15042	1204	8881	738	86	0	0	0	76	15	94	1736	3	1270	4377	1783	5335	15494	8520	2119	13236	59320	72037	300629	0	0
FFQ	81	0	0	1	0	0	0	0	0	0	0	0	0	44	46	11471	7879	5337	777	13547	468	353	0	0	0	79	16	42	2539	5	2583	12803	562	5543	13914	13782	12256	32930	53859	171044	163325	0	0
FFQ	82	0	0	0	0	0	0	0	0	0	0	0	0	112	125	17971	3938	5649	559	7426	116	73	0	0	0	78	19	60	4028	3	6501	11830	5970	1196	19444	28575	6955	28617	50424	168047	157462	0	0
FFQ	83	0	0	2	0	0	0	0	0	0	0	0	0	158	134	16789	854	13731	1043	9461	761	64	0	0	0	119	46	103	3912	4	3955	11785	3797	3652	15915	19209	11175	28746	53832	167339	158587	0	0
FFQ	84	0	0	0	0	0	0	0	0	0	0	0	0	78	50	18233	1092	11007	579	8145	4612	117	0	0	0	104	35	78	3657	13	8717	8471	6707	429	17588	24143	10468	33753	50315	151265	165512	0	0
FFQ	85	0	0	1	0	0	0	0	0	0	0	0	0	75	43	14309	1244	13224	1199	13445	589	256	0	0	0	79	23	38	4208	12	4431	11441	3923	2580	17820	23096	12499	24906	52996	166056	156663	0	0
FFQ	86	0	0	1	0	0	0	0	0	0	0	0	0	83	18	8353	3352	6404	7740	11004	7118	339	0	0	0	115	32	121	2335	7	2909	7948	3495	434	21411	17291	11239	10416	57814	130489	214683	0	0
FFQ	87	0	0	2	0	0	0	0	0	0	0	0	0	60	45	2577	10682	9692	2801	3469	396	565	0	0	0	86	18	82	2909	17	1816	5557	2237	4069	16487	5815	7918	8681	63916	74789	300454	0	0
FFQ	88	0	0	1	0	0	0	0	0	0	0	0	0	70	118	17871	3216	6346	4034	1003	250	514	0	0	0	69	19	38	4152	10	2367	11707	2146	7370	10397	11032	21388	30658	51464	190618	148269	0	0
FFQ	89	0	0	0	0	0	0	0	0	0	0	0	0	103	66	16760	11890	6338	2709	952	228	146	0	0	0	83	12	61	2985	10	4969	13047	2322	8097	11042	8841	7191	44410	61450	83517	237879	0	0
FFQ	90	0	0	1	0	0	0	0	0	0	0	0	0	179	79	28330	3270	7206	1694	6260	1385	23	0	0	0	90	43	89	4053	15	5109	13849	9101	2555	12504	35429	8753	14926	58682	195625	115842	0	0
FFQ	91	0	0	0	0	0	0	0	0	0	0	0	0	222	43	19864	834	2511	6836	1194	6094	23	0	0	0	111	40	147	5768	26	5404	8589	8071	2635	15865	28760	13533	15141	56471	186868	140036	0	0
FFQ	92	0	0	0	0	0	0	0	0	0	0	0	0	268	92	25164	7968	4835	7231	1038	1546	22	0	0	0	100	30	82	5384	10	3798	12869	8230	4096	15391	33156	9559	16409	49710	134276	183805	0	0
FFQ	93	0	0	2	0	0	0	0	0	0	0	0	0	131	84	2168	9708	4843	14509	1367	2640	13	0	0	0	100	31	116	2973	47	3644	4728	4387	476	22821	8338	8662	10453	74042	80143	268641	0	0
FFQ	94	0	0	2	0	0	0	0	0	0	0	0	0	119	135	7562	1053	12931	8095	2829	14364	16	0	0	0	122	37	91	4522	28	1802	7002	9062	2834	16025	8164	6730	19008	67394	84166	250965	0	0
FFQ	95	0	0	2	0	0	0	0	0	0	0	0	0	117	144	4799	11140	17084	8642	1039	3659	10	0	0	0	129	38	81	6432	46	1392	7041	7682	4164	23505	9154	7549	12404	76056	81299	241444	0	0
FFQ	96	0	0	2	0	0	0	0	0	0	0	0	0	62	47	3653	4285	13684	4675	11118	1269	12	0	0	0	85	28	83	3467	45	3529	8243	6436	733	23109	4861	10839	11780	71372	85448	256171	0	0
FFQ	97	0	0	2	0	0	0	0	0	0	0	0	0	138	179	8533	4124	11262	6228	5209	5075	6	0	0	0	77	32	77	2993	78	2915	6300	5149	1136	17073	3473	10150	11183	66941	79467	277185	0	0
FFQ	98	0	0	1	0	0	0	0	0	0	0	0	0	78	110	2579	3975	16373	4044	4133	720	15	0	0	0	96	28	82	3626	60	2719	4370	4038	832	18025	4922	9566	11661	64122	76829	291975	0	0
FFQ	99	0	0	2	0	0	0	0	0	0	0	0	0	71	136	3162	2868	8371	3758	2239	1887	24	0	0	0	117	50	82	4053	13	1578	4847	3521	835	10282	7854	3700	8498	55403	72125	329474	9	0
FFQ	100	0	0	2	0	0	0	0	0	0	0	0	0	140	136	2350	4459	8883	5313	6003	4947	15	0	0	0	89	19	77	3596	28	960	3896	2388	612	15193	7078	5684	11665	61984	70529	308887	0	0
FFQ	101	0	0	4	0	0	0	0	0	0	0	0	0	192	181	2919	1221	11097	3661	1649	6507	4	0	0	0	105	27	78	3535	61	1881	4932	3817	1293	13488	7514	6640	9334	60029	77148	307589	0	0
FFQ	102	0	0	3	0	0	0	0	0	0	0	0	0	219	100	2527	8320	14267	4318	3540	4944	5	0	0	0	112	27	59	4804	76	1326	5326	2606	492	21663	12782	5677	14721	70108	82501	264328	0	0
FFQ	103	0	0	3	0	0	0	0	0	0	0	0	0	398	92	10773	8860	9084	2590	2528	5919	0	0	0	0	116	29	111	6557	86	1652	9657	2545	1479	13678	8228	8189	28408	61641	126651	215418	0	0
FFQ	104	0	0	6	0	0	0	0	0	0	0	0	0	252	450	21202	1080	7238	725	6083	554	0	0	0	0	112	27	93	8168	52	2986	14996	1164	6293	10286	9700	10589	33522	48666	104789	235633	0	0
FFQ	105	0	0	3	0	0	0	0	0	0	0	0	0	727	616	12968	3390	6143	2300	1562	1636	0	0	0	0	84	27	67	3817	46	1198	10176	1945	4361	15262	14204	19623	12155	54546	156980	200702	0	0
FFQ	106	0	0	4	0	0	0	0	0	0	0	0	0	1116	210	10997	973	5349	1782	2388	336	1	0	0	0	193	64	273	5901	87	4039	7727	6903	2057	12627	24621	11284	5400	50411	154400	215346	0	0
FFQ	107	0	0	6	0	0	0	0	0	0	0	0	0	1274	1066	15339	6014	7265	1257	11856	694	0	0	0	0	179	43	104	5561	111	1240	8710	1107	5168	22107	10282	5571	23311	78602	147501	169602	0	0
FFQ	108	0	0	5	0	0	0	0	0	0	0	0	0	2084	236	15380	1349	5470	2035	6971	1816	0	0	0	0	140	77	228	6119	53	4475	13774	12052	5625	12300	48409	17708	4061	47192	188078	128215	0	0
FFQ	109	0	0	6	0	0	0	0	0	0	0	0	0	815	3334	16602	1471	2992	7076	10983	563	0	0	0	0	122	72	110	4931	37	1413	11481	874	9900	14153	13753	19107	23751	66582	189698	123815	0	0
FFQ	110	0	0	6	0	0	0	0	0	0	0	0	0	551	953	3799	15269	5259	1709	5322	758	0	0	0	0	151	98	177	5403	57	2322	8786	1358	8743	17127	11371	8058	8805	71025	84523	261690	0	0
FFQ	111	0	0	5	0	0	0	0	0	0	0	0	0	536	430	4068	6861	12681	2957	3068	203	0	0	0	0	110	92	173	5548	106	2383	8986	2003	1220	25405	9724	10233	5518	64235	79566	276748	0	0
FFQ	112	0	0	6	0	0	0	0	0	0	0	0	0	2346	1600	8016	1499	8464	6003	4186	306	0	0	0	0	89	88	106	5170	47	2606	10254	1727	4186	18484	11725	18306	7275	63189	134330	212221	0	0
FFQ	113	0	0	4	0	0	0	0	0	0	0	0	0	2362	5728	10324	5768	4848	944	3254	229	0	0	0	0	153	120	147	6121	45	2242	8016	1244	7885	8461	16062	13630	15009	50530	133625	224757	0	0
FFQ	114	0	0	5	0	0	0	0	0	0	0	0	0	944	8361	10516	20583	2376	5074	6594	362	0	0	0	0	202	225	363	10227	168	4020	12657	1681	8806	17486	27171	26420	14250	69207	158325	115235	0	0
FFQ	115	0	0	3	0	0	0	0	0	0	0	0	0	595	1116	11797	7073	11725	4416	2637	138	0	0	0	0	178	205	259	10890	77	5794	9116	1407	6525	11981	20385	15054	9294	67610	123916	198820	0	0
FFQ	116	0	0	0	0	0	0	0	0	0	0	0	0	578	396	7200	5515	7231	2782	1337	137	0	0	0	0	110	122	206	8767	99	5970	6015	5230	1271	13816	30105	8328	6321	59679	130806	218666	0	0
FFQ	117	0	0	0	0	0	0	0	0	0	0	0	0	2530	11596	9410	17566	6311	1454	3623	101	0	0	0	0	116	162	115	11820	60	4193	4777	4301	4160	14747	28762	6693	18897	54667	128685	184394	0	0
FFQ	118	0	0	0	0	0	0	0	0	0	0	0	0	1108	1793	12527	15392	5004	690	1700	198	0	0	0	0	170	244	327	19451	132	10734	3861	8890	5863	19689	32663	15877	5684	59525	80028	216605	0	0
FFQ	119	0	0	0	0	0	0	0	0	0	0	0	0	1572	8732	8360	2158	12818	1005	1558	73	0	0	0	0	204	238	251	11854	100	3475	9797	1099	11751	8160	13138	28990	21702	49093	84486	231697	0	0
FFQ	120	0	0	0	0	0	0	0	0	0	0	0	0	785	2443	6456	14465	6477	797	1775	216	0	0	0	0	218	244	225	11129	645	3829	4454	1011	2642	10742	12942	5902	13997	59580	74986	269916	0	0
FFQ	121	0	0	0	0	0	0	0	0	0	0	0	0	181	172	2091	2059	8456	681	268	679	0	0	0	0	214	252	561	13641	5182	5533	12578	2188	684	13695	8773	16053	7688	82146	90915	198709	0	0
FFQ	122	0	0	1	0	0	0	0	0	0	0	0	0	127	185	1139	2059	5073	1035	273	1678	0	0	0	0	149	146	261	3498	2346	2684	1016	339	218	5298	1155	6831	2789	25822	31488	91605	0	0
