FFQ	11	0	0	1	0	0	0	0	0	0	0	0	0	14	5	1456	13009	3444	9479	1217	424	436	0	0	0	0	0	0	4	0	2778	3505	1006	35277	23789	19937	9937	26965	61777	206069	148265	0	0
FFQ	12	0	0	0	0	0	0	0	0	0	0	0	0	5	0	812	9690	2935	4843	4560	224	371	0	0	0	0	0	0	10	0	1946	781	1041	25886	35314	17689	3615	6297	68383	59738	324654	0	0
FFQ	13	0	0	5	0	0	0	0	0	0	0	0	0	17	0	1271	9422	7107	4979	3207	880	320	35	0	0	1	4	0	1	0	13	335	3	11433	13417	15552	3287	9287	56737	105003	326478	0	0
FFQ	14	0	0	2	0	0	0	0	0	0	0	0	0	24	2	5643	1025	10058	4977	2935	678	2782	41	0	0	0	0	0	4	0	6	312	7	13975	11720	16590	10583	12195	51822	118465	304948	0	0
FFQ	15	0	0	2	0	0	0	0	0	0	0	0	0	13	14	913	5237	10931	710	8616	250	2080	29	0	0	0	5	3	4	0	6	197	2	7702	17999	10449	3812	13335	61177	117864	307444	0	0
FFQ	16	0	0	3	0	0	0	0	0	0	0	0	0	10	2	364	490	13132	6214	835	754	16053	40	0	0	1	7	12	3	1	4	285	1	7859	20841	6731	11113	13257	69411	118516	282855	0	0
FFQ	17	0	0	2	0	0	0	0	0	0	0	0	0	2	10	465	596	21241	865	5273	794	8554	27	0	0	2	4	10	3	0	4	273	2	7545	18644	5733	9402	16734	68006	121511	283092	0	0
FFQ	18	0	0	0	0	0	0	0	0	0	0	0	0	12	16	445	5470	12506	6309	8230	1040	1067	27	0	0	2	3	4	1	0	0	228	14	8739	20448	9165	4435	15470	67547	114860	292756	0	0
FFQ	19	0	0	0	0	0	0	0	0	0	0	0	0	12	4	444	7390	6707	5010	4363	828	789	34	0	0	4	3	6	3	0	3	186	7	8448	18048	8445	1429	10639	58799	114287	322906	0	0
FFQ	20	0	0	0	0	0	0	0	0	0	0	0	0	15	2	739	3847	11427	4190	6521	387	2159	38	0	0	1	7	4	2	0	7	231	10	7858	16856	7803	4518	11884	60799	102443	327046	0	0
FFQ	21	0	0	1	0	0	0	0	0	0	0	0	0	13	3	5129	1662	10056	4138	4806	1128	1467	35	0	0	5	10	4	2	1	6	372	3	13112	14036	9255	3207	24566	55957	106462	313358	0	0
FFQ	22	0	0	2	0	0	0	0	0	0	0	0	0	10	6	3634	1428	9898	2807	4167	425	2968	16	0	0	4	3	6	3	0	17	431	3	11458	14064	7868	3179	26461	74185	197671	208080	0	0
FFQ	23	0	0	4	0	0	0	0	0	0	0	0	0	11	3	14907	5871	7072	7061	2856	1606	776	56	0	0	2	4	16	5	2	25	4123	10	20386	8790	15405	1585	50805	42964	171383	213066	0	0
FFQ	24	0	0	2	0	0	0	0	0	0	0	0	0	14	12	7568	6341	9350	890	9645	730	793	37	0	0	3	0	2	2	1	84	1683	4	18541	17752	8005	4893	45208	61270	156126	219838	0	0
FFQ	25	0	0	2	0	0	0	0	0	0	0	0	0	79	5	5045	4152	9565	572	6090	934	787	49	0	0	7	5	15	20	3	58	2816	30	13880	14420	9070	5485	33626	56334	166921	238824	0	0
FFQ	26	0	0	1	0	0	0	0	0	0	0	0	0	39	7	8192	8843	4341	5008	1233	1491	961	48	0	0	8	1	16	10	6	208	7919	91	17454	7508	18292	5037	40476	46170	223184	172250	0	0
FFQ	27	0	0	3	0	0	0	0	0	0	0	0	0	25	16	9462	3389	11995	3906	7714	1199	1101	66	0	0	7	1	2	7	3	380	9099	107	17779	14470	16447	10536	40470	53450	215917	151243	0	0
FFQ	28	0	0	2	0	0	0	0	0	0	0	0	0	131	33	6003	2879	14759	1069	8862	1117	3187	61	0	0	10	0	7	7	1	186	376	49	13877	17302	9713	2494	18706	60114	89072	318729	48	0
FFQ	29	0	0	4	0	0	0	0	0	0	0	0	0	65	33	6449	3092	16387	1231	6330	1059	8265	57	0	0	36	2	30	110	0	624	502	75	16761	21012	7462	6460	25191	68229	87472	281985	9871	0
FFQ	30	0	0	4	0	0	0	0	0	0	0	0	0	142	28	5548	12473	8520	4258	2151	486	1081	322	0	0	33	2	11	66	2	252	3129	69	22413	9251	14317	2143	38166	62139	131940	249765	83	0
FFQ	31	0	0	10	0	0	0	0	0	0	0	0	0	43	44	7027	2888	13654	1272	928	462	8088	35	0	0	25	6	32	59	0	413	1613	51	18217	14446	5562	9338	47079	57041	128705	241985	9771	0
FFQ	32	0	0	7	0	0	0	0	0	0	0	0	0	91	48	8423	2974	14205	928	1229	765	6616	37	0	0	23	8	17	52	0	421	6487	54	15976	9801	8300	14665	45735	50593	214336	166790	213	0
FFQ	33	0	0	1	0	0	0	0	0	0	0	0	0	476	91	9027	5776	12063	2766	6488	839	754	25	0	0	21	5	8	152	2	378	5487	183	18203	12191	13111	4964	50556	48002	214893	162332	0	0
FFQ	34	0	0	11	0	0	0	0	0	0	0	0	0	59	40	6748	3995	10677	1340	4362	89	2286	26	0	0	62	11	77	254	11	653	4417	437	15642	11742	11956	4409	45008	46223	232049	166210	0	0
FFQ	35	0	0	2	0	0	0	0	0	0	0	0	0	172	29	6011	4158	8037	2099	1367	101	4023	22	0	0	49	33	50	134	28	584	4266	931	14610	8267	9724	11602	41348	44343	233381	173421	2	0
FFQ	36	0	0	10	0	0	0	0	0	0	0	0	0	335	195	8469	7000	3688	4805	548	60	3213	20	0	0	47	54	54	81	19	2180	5281	2831	10076	7850	13919	6788	33329	45986	163087	248869	0	0
FFQ	37	0	0	11	0	0	0	0	0	0	0	0	0	200	102	5960	1956	6075	6147	910	39	6538	11	0	0	45	131	80	21	9	1923	3631	204	11692	11237	6385	9480	39048	63974	229568	163417	0	0
FFQ	38	0	0	3	0	0	0	0	0	0	0	0	0	94	275	9581	6776	4826	6224	842	32	5191	4	0	0	36	115	46	22	4	3321	6802	2691	8172	9557	13128	9646	40593	47871	221360	171582	0	0
FFQ	39	0	0	2	0	0	0	0	0	0	0	0	0	73	186	5504	4125	10037	7466	4322	11	9139	3	0	0	47	118	75	50	1	2636	5615	217	10355	17306	6025	9701	22267	64292	76884	312337	0	0
FFQ	40	0	0	1	0	0	0	0	0	0	0	0	0	96	76	9276	1886	14532	1868	1538	14	6819	0	0	0	39	95	58	36	2	2065	4283	79	14445	11997	7656	7588	33478	80484	122433	247950	0	0
FFQ	41	0	0	1	0	0	0	0	0	0	0	0	0	157	87	2251	5289	6055	5750	9666	9	5013	1	0	0	40	97	47	49	3	2161	2737	917	6215	20202	5932	10035	20470	70940	81376	313294	0	0
FFQ	42	0	0	1	0	0	0	0	0	0	0	0	0	155	93	8156	1492	14667	2122	6836	6	2415	0	0	0	58	173	66	101	1	1976	4062	1323	10317	14216	11848	2870	27590	61690	84884	311676	0	0
FFQ	43	0	0	1	0	0	0	0	0	0	0	0	0	212	91	2636	1256	13691	2274	2228	433	9447	0	0	0	63	158	245	107	8	473	992	3016	5922	16544	3241	14545	17343	70712	91448	311708	0	0
FFQ	44	0	0	1	0	0	0	0	0	0	0	0	0	510	140	2692	5718	10224	3069	2795	51	8338	0	0	0	58	190	178	65	4	1006	1246	2321	6840	14277	4818	11227	13716	61505	74760	343045	0	0
FFQ	45	0	0	3	0	0	0	0	0	0	0	0	0	319	214	11842	3027	7180	1562	4245	34	1598	0	0	0	90	206	212	167	6	7553	5329	4382	6452	9348	11998	5238	53471	44221	217612	172485	0	0
FFQ	46	0	0	2	0	0	0	0	0	0	0	0	0	199	186	11971	2397	7443	2200	870	6	2412	0	0	0	113	227	204	92	14	3844	8283	3826	10393	5843	15700	7224	66839	33324	364313	20869	0	0
FFQ	47	0	0	1	0	0	0	0	0	0	0	0	0	443	460	11256	1864	6297	1725	884	5	1201	0	0	0	84	257	183	73	14	3863	4541	3855	10555	5584	14138	2051	48608	31641	234623	184588	0	0
FFQ	48	0	0	0	0	0	0	0	0	0	0	0	0	274	338	15092	1515	10709	1203	706	321	726	0	0	0	128	261	180	56	16	3313	10254	2737	12221	4737	14222	9327	58403	33020	365707	23328	0	0
FFQ	49	0	0	1	0	0	0	0	0	0	0	0	0	241	457	13354	3837	8343	1469	1407	11	818	0	0	0	106	198	111	64	7	3880	6671	2754	14037	4381	15386	2058	60220	32293	277851	118839	0	0
FFQ	50	0	0	1	0	0	0	0	0	0	0	0	0	248	361	10866	8556	8172	928	937	54	1216	0	0	0	155	163	183	132	23	3850	8371	3282	11998	6421	19973	2089	50796	42198	278708	109113	0	0
FFQ	51	0	0	0	0	0	0	0	0	0	0	0	0	248	156	7505	1130	9728	1534	3892	42	1078	0	0	0	167	106	121	57	33	2453	7066	2021	7524	9559	8424	7618	43691	44463	282209	127964	0	0
FFQ	52	0	0	0	0	0	0	0	0	0	0	0	0	165	275	6486	2655	13234	1837	3076	72	1072	0	0	0	198	107	171	70	7	2586	6853	1837	6187	12028	10463	7874	30807	50618	209845	200248	0	0
FFQ	53	0	0	1	0	0	0	0	0	0	0	0	0	126	264	6018	2706	10326	4789	3018	800	1208	0	0	0	235	67	181	54	10	2443	5706	1540	7621	9762	8219	6476	35486	50517	213723	197469	0	0
FFQ	54	0	0	0	0	0	0	0	0	0	0	0	0	107	234	5363	8483	8160	1237	5580	60	1656	0	0	0	205	80	202	151	8	2643	6268	855	8494	12222	11021	5468	28474	55980	174688	231114	0	0
FFQ	55	0	0	0	0	0	0	0	0	0	0	0	0	147	353	7242	4647	7397	9111	871	158	7249	0	0	0	215	53	254	111	7	1817	3284	2852	7496	15950	7265	7538	28874	67234	90497	298125	0	0
FFQ	56	0	0	0	0	0	0	0	0	0	0	0	0	157	326	7253	6451	9595	9346	1855	291	7320	0	0	0	216	53	146	104	2	2838	5380	3073	4401	15614	5948	10293	36802	66007	127082	248187	0	0
FFQ	57	0	0	0	0	0	0	0	0	0	0	0	0	139	357	4997	6701	10964	3145	6895	136	1501	0	0	0	186	54	163	204	5	3357	6292	3055	4060	19308	6314	8634	31298	66633	139718	244617	0	0
FFQ	58	0	0	0	0	0	0	0	0	0	0	0	0	256	615	6316	7126	11455	928	16193	521	732	0	0	0	268	84	194	205	5	2923	3389	2496	6039	20153	8592	4343	28249	65534	86304	295295	511	0
FFQ	59	0	0	0	0	0	0	0	0	0	0	0	0	265	462	2705	11853	13263	7095	4780	309	1138	0	0	0	294	63	161	142	8	2636	3691	2450	9119	15667	8240	4710	18617	69902	85206	305385	556	0
FFQ	60	0	0	1	0	0	0	0	0	0	0	0	0	245	398	2365	7900	8148	1147	5700	5418	751	0	0	0	263	47	144	95	18	2852	3271	1983	4142	21988	7451	4892	18878	71757	87131	311701	20	0
FFQ	61	0	0	0	0	0	0	0	0	0	0	0	0	134	413	7235	1449	14356	3538	3586	5361	2202	0	0	0	230	48	172	89	6	1081	1885	3627	6441	17089	5126	6857	27249	60524	87801	311659	538	0
FFQ	62	0	0	1	0	0	0	0	0	0	0	0	0	291	140	8702	1781	11876	3879	13095	682	1541	0	0	0	268	58	183	193	17	1758	2584	5132	5559	17478	5655	6320	25385	59732	81209	315145	21	0
FFQ	63	0	0	0	0	0	0	0	0	0	0	0	0	167	573	3343	6940	13478	4576	7028	10150	1361	0	0	0	249	42	163	264	15	2115	3181	4077	2522	24326	4953	8466	18758	73360	81953	296613	6	0
FFQ	64	0	0	1	0	0	0	0	0	0	0	0	0	172	531	2675	8580	12983	1172	12025	6676	947	0	0	0	293	58	166	249	10	2293	3104	4201	4766	19898	7045	5738	16858	70763	80478	306989	1	0
FFQ	65	0	0	0	0	0	0	0	0	0	0	0	0	152	263	7029	1886	12841	1336	17189	4301	1264	0	0	0	326	59	334	376	7	3046	6264	4598	4518	21824	7123	7778	39855	70836	136079	219377	4	0
FFQ	66	0	0	0	0	0	0	0	0	0	0	0	0	229	567	25263	5647	13045	769	1443	4305	564	0	0	0	263	48	224	429	10	5302	19166	1821	9843	8415	11030	5934	45148	56027	138225	214943	0	0
FFQ	67	0	0	0	0	0	0	0	0	0	0	0	0	280	452	12720	14414	7123	1301	5407	266	513	0	0	0	267	79	184	581	4	7117	7990	3917	7345	16966	14443	3193	33402	68555	137213	224917	0	0
FFQ	68	0	0	0	0	0	0	0	0	0	0	0	0	186	481	12256	5657	13589	5584	3364	263	422	0	0	0	286	72	171	613	7	5772	12025	556	7412	16463	11196	4810	43645	63273	117626	242915	1	0
FFQ	69	0	0	1	0	0	0	0	0	0	0	0	0	219	447	17170	9317	6893	813	5663	128	388	0	0	0	293	64	224	923	10	8545	8204	4985	6550	11758	13796	1375	46630	58432	116527	249279	6	0
FFQ	70	0	0	0	0	0	0	0	0	0	0	0	0	182	268	11437	3131	7604	1918	3131	1040	505	0	0	0	283	53	201	367	11	5256	10544	1018	5615	14401	7021	5768	42008	61981	128054	256834	3	0
FFQ	71	0	0	1	0	0	0	0	0	0	0	0	0	143	174	3570	9928	11707	4947	11583	171	755	0	0	0	244	58	221	831	9	2398	3658	1917	1919	29497	10137	2402	20897	73614	87111	290733	3	0
FFQ	72	0	0	1	0	0	0	0	0	0	0	0	0	138	119	3226	9734	17995	3525	10278	956	537	0	0	0	224	64	203	1776	4	2907	5910	2549	4479	31152	8502	4760	16724	73181	82940	286737	0	0
FFQ	73	0	0	2	0	0	0	0	0	0	0	0	0	94	84	2584	15412	4529	4848	6404	770	479	0	0	0	209	51	194	1615	11	3086	5150	1430	2973	33302	10599	1895	16690	76152	84601	295422	0	0
FFQ	74	0	0	0	0	0	0	0	0	0	0	0	0	140	116	14062	5438	12507	8930	7309	921	276	0	0	0	311	91	242	2166	11	3534	11348	1516	6559	21145	10180	9996	33387	64558	147695	206113	0	0
FFQ	75	0	0	0	0	0	0	0	0	0	0	0	0	161	111	4850	11936	17011	2026	8456	722	1107	0	0	0	264	44	194	2399	7	1914	9383	1164	5350	26268	8065	5004	18754	81495	136501	225351	0	0
FFQ	76	0	0	0	0	0	0	0	0	0	0	0	0	172	194	14425	3127	16706	1784	6922	3875	657	0	0	0	310	49	136	1480	1	2885	10710	1493	6147	17641	8247	5789	29124	68771	137935	229933	0	0
FFQ	77	0	0	1	0	0	0	0	0	0	0	0	0	150	145	13286	1471	19781	1275	9009	736	620	0	0	0	312	79	307	2784	18	1798	12014	2646	5740	15423	9602	8241	36927	56604	148970	220556	0	0
FFQ	78	0	0	0	0	0	0	0	0	0	0	0	0	247	171	13432	7188	7828	7019	4556	5343	580	0	0	0	291	55	273	1905	13	1884	7130	2620	5378	18471	9296	3592	25821	61122	79749	304522	0	0
FFQ	79	0	0	1	0	0	0	0	0	0	0	0	0	287	190	10202	2583	16850	2348	11554	3270	593	0	0	0	224	43	170	1055	10	2622	7481	2473	5758	14575	5788	6572	26739	55347	78494	313244	0	0
FFQ	80	0	0	1	0	0	0	0	0	0	0	0	0	117	80	5418	9735	16565	1921	9468	1058	286	0	0	0	370	81	409	1822	7	1699	4912	2574	5729	19175	9344	2980	16256	66965	80153	311338	0	0
FFQ	81	0	0	1	0	0	0	0	0	0	0	0	0	134	68	12725	8540	7054	1392	14283	759	554	0	0	0	329	57	143	2622	18	3017	13404	1359	5927	16713	14547	13130	35977	61295	179711	174677	0	0
FFQ	82	0	0	0	0	0	0	0	0	0	0	0	0	337	193	19355	4551	7330	947	8104	580	191	0	0	0	288	62	182	4124	4	7065	12535	6547	1862	21985	29536	7759	31807	57953	176727	168369	0	0
FFQ	83	0	0	2	0	0	0	0	0	0	0	0	0	487	270	18486	1504	15641	1634	10229	972	250	0	0	0	417	104	306	4033	6	4557	12820	4361	4177	18687	20239	11852	32120	61634	175720	167867	0	0
FFQ	84	0	0	0	0	0	0	0	0	0	0	0	0	312	142	19690	1830	12823	1017	8906	4848	284	0	0	0	364	78	242	3785	17	9438	9444	7394	1050	20091	25186	11245	37843	57701	159698	174929	0	0
FFQ	85	0	0	1	0	0	0	0	0	0	0	0	0	248	106	16218	2069	15101	1882	15505	1002	494	0	0	0	261	50	124	4359	17	5089	12178	4952	2885	20723	24122	13225	28379	59723	174130	165476	0	0
FFQ	86	0	0	1	0	0	0	0	0	0	0	0	0	221	54	10534	4381	8086	8522	12460	7965	485	0	0	0	360	71	312	2484	16	3552	8735	4410	709	24654	18533	11970	13559	64553	138356	223312	0	0
FFQ	87	0	0	2	0	0	0	0	0	0	0	0	0	164	90	4602	11305	11309	3717	4287	1099	677	0	0	0	352	71	245	3085	23	2336	6282	3212	4397	19860	6972	8784	11971	71260	82793	309344	0	0
FFQ	88	0	0	1	0	0	0	0	0	0	0	0	0	198	186	20075	3767	8229	4669	2016	837	590	0	0	0	301	62	182	4366	15	2918	12431	3089	7690	13400	12186	22283	33911	58770	198649	157319	0	0
FFQ	89	0	0	0	0	0	0	0	0	0	0	0	0	307	102	19186	12562	7731	3505	1417	1745	220	0	0	0	346	62	248	3304	54	5946	14090	3484	8427	13785	9877	8075	48356	67534	91713	245889	0	0
FFQ	90	0	0	1	0	0	0	0	0	0	0	0	0	450	225	30953	3835	8919	2458	6682	3221	62	0	0	0	379	99	309	4340	21	5974	15050	9925	3159	15108	36379	9689	18662	64882	203302	123689	0	0
FFQ	91	0	0	0	0	0	0	0	0	0	0	0	0	490	124	22004	1486	3661	7662	1589	7021	83	0	0	0	415	91	410	6092	59	6376	9476	9225	3043	18873	29679	14249	19341	62651	194963	148574	0	0
FFQ	92	0	0	0	0	0	0	0	0	0	0	0	0	588	255	27044	9182	6444	8010	1521	2356	74	0	0	0	341	74	224	5640	18	4457	13838	8990	4757	18147	34097	10318	19395	56954	141858	192927	0	0
FFQ	93	0	0	2	0	0	0	0	0	0	0	0	0	479	252	3969	10680	6599	15331	1899	3301	56	0	0	0	339	73	309	3232	54	4362	6273	4964	1143	25579	9359	9361	13933	81939	87394	276559	0	0
FFQ	94	0	0	2	0	0	0	0	0	0	0	0	0	336	279	9513	1769	14706	9511	3412	15240	69	0	0	0	403	104	263	4785	40	2498	8462	9693	3171	19167	9041	7682	22086	75010	91132	259003	0	0
FFQ	95	0	0	2	0	0	0	0	0	0	0	0	0	312	270	6721	11985	18805	9473	1708	4185	43	0	0	0	395	101	265	6691	59	2137	8272	8229	4597	26560	10027	8491	15841	83239	88946	249974	0	0
FFQ	96	0	0	2	0	0	0	0	0	0	0	0	0	163	103	5925	5202	15934	5407	12139	2220	53	0	0	0	306	59	240	3690	55	4295	9231	6958	994	25998	5880	11767	14829	78210	92582	265027	0	0
FFQ	97	0	0	2	0	0	0	0	0	0	0	0	0	301	229	10540	5032	13056	6920	6169	5749	23	0	0	0	306	80	253	3256	107	3704	7416	5725	1478	20370	4420	11028	14334	74024	87060	285605	0	0
FFQ	98	0	0	1	0	0	0	0	0	0	0	0	0	263	177	4477	4675	18219	4900	4771	1522	46	0	0	0	329	82	240	3890	77	3567	5403	4635	1149	21099	5726	10532	14829	70901	84793	300856	0	0
FFQ	99	0	0	2	0	0	0	0	0	0	0	0	0	273	216	4758	3664	10160	4415	2972	2224	39	0	0	0	341	90	234	4360	33	2365	5874	4051	1126	13058	8816	4486	11532	62725	79912	339375	9	0
FFQ	100	0	0	2	0	0	0	0	0	0	0	0	0	451	223	4447	5163	10729	6048	6814	5468	30	0	0	0	278	38	219	3912	66	1868	5115	3095	978	17780	8342	6345	15458	68809	78357	317001	0	0
FFQ	101	0	0	4	0	0	0	0	0	0	0	0	0	691	484	5099	2942	12523	4528	2053	7156	7	0	0	0	372	76	246	3935	75	2808	6346	4351	2080	16015	8506	7472	12838	66054	84858	315458	0	0
FFQ	102	0	0	3	0	0	0	0	0	0	0	0	0	576	173	5088	9070	16171	5111	4458	5457	5	0	0	0	432	82	270	5257	101	2310	6616	3259	818	24981	14026	6395	17906	76241	90257	271805	0	0
FFQ	103	0	0	3	0	0	0	0	0	0	0	0	0	573	170	12798	9658	11208	3345	3403	6541	0	0	0	0	402	112	381	7034	97	2367	10980	3042	1920	17070	9391	9133	31069	68418	134583	222951	0	0
FFQ	104	0	0	6	0	0	0	0	0	0	0	0	0	474	571	23466	1703	9073	1494	6753	1218	0	0	0	0	355	65	211	8672	58	3633	16255	1629	6822	13132	10877	11540	36538	55941	112568	243527	0	0
FFQ	105	0	0	3	0	0	0	0	0	0	0	0	0	982	760	14614	4419	7632	3158	2012	2507	0	0	0	0	276	65	205	4289	58	1932	11384	2381	4847	18285	15381	20659	14843	61761	164726	209229	0	0
FFQ	106	0	0	4	0	0	0	0	0	0	0	0	0	1348	268	13019	1539	6976	2639	2966	1133	1	0	0	0	409	109	447	6458	117	4734	8993	7671	2396	15425	25896	12313	8917	56924	162527	223086	0	0
FFQ	107	0	0	6	0	0	0	0	0	0	0	0	0	1518	1161	17329	6644	9215	1917	12468	2215	0	0	0	0	350	71	212	6145	152	1871	9989	1823	5456	24971	11596	6541	26556	84813	155557	177180	0	0
FFQ	108	0	0	5	0	0	0	0	0	0	0	0	0	2324	343	17633	2322	7332	2715	7547	3491	0	0	0	0	305	109	348	6777	95	5109	15050	12810	6001	15180	50234	18858	6422	52900	195840	135827	0	0
FFQ	109	0	0	6	0	0	0	0	0	0	0	0	0	1159	3541	18715	2239	4776	7839	11647	1303	0	0	0	0	315	102	257	5569	87	2059	12840	1519	10283	16959	15494	20260	25957	72585	197702	132030	0	0
FFQ	110	0	0	6	0	0	0	0	0	0	0	0	0	830	1105	5733	16151	6809	2265	5944	1126	0	0	0	0	405	145	369	6261	115	3023	10020	1958	9062	20029	13034	9125	10811	77226	92317	270781	0	0
FFQ	111	0	0	5	0	0	0	0	0	0	0	0	0	825	577	6773	8025	14584	3567	4298	473	0	0	0	0	353	128	346	6581	137	3055	10269	2517	1580	28294	11176	11137	7868	70452	86183	284262	0	0
FFQ	112	0	0	6	0	0	0	0	0	0	0	0	0	2773	1905	10734	3590	10203	6723	4799	601	0	0	0	0	288	125	238	6217	71	3231	11729	2099	4768	21138	13109	19203	9488	69433	140736	219084	0	0
FFQ	113	0	0	4	0	0	0	0	0	0	0	0	0	2640	5989	12873	6782	6848	1666	4186	495	0	0	0	0	373	168	318	7195	67	2901	9531	1604	8301	11186	17454	14672	17377	56504	140495	231609	0	0
FFQ	114	0	0	5	0	0	0	0	0	0	0	0	0	1175	8573	12624	21751	4260	5908	7304	603	0	0	0	0	366	285	530	11187	194	4610	13801	2338	9220	20003	28555	27576	16470	75499	165478	122419	0	0
FFQ	115	0	0	3	0	0	0	0	0	0	0	0	0	874	1294	13875	8114	13660	5187	3189	288	0	0	0	0	346	232	373	11834	113	6328	10268	2046	6918	14336	21958	16136	11337	73777	131334	206486	0	0
FFQ	116	0	0	0	0	0	0	0	0	0	0	0	0	904	650	9231	6774	9144	3552	1814	388	0	0	0	0	228	159	311	9736	136	6531	7124	5921	1720	15821	31889	9359	8169	65484	138016	226697	0	0
FFQ	117	0	0	0	0	0	0	0	0	0	0	0	0	2886	11863	11634	18583	8238	2055	3943	271	0	0	0	0	272	201	220	12937	114	4836	5930	5175	4498	16809	30854	7767	20562	59631	136470	192199	0	0
FFQ	118	0	0	0	0	0	0	0	0	0	0	0	0	1572	2003	15268	16552	6894	1324	2102	383	0	0	0	0	332	273	490	20750	195	11377	5113	9854	6218	21738	34940	16997	7174	64524	86743	223602	0	0
FFQ	119	0	0	0	0	0	0	0	0	0	0	0	0	2030	8983	11095	3290	14661	1556	1820	236	0	0	0	0	363	272	360	13241	162	4169	11020	1920	12117	10171	15224	30118	23265	53958	91119	238933	0	0
FFQ	120	0	0	0	0	0	0	0	0	0	0	0	0	1254	2690	9204	15600	8317	1388	2063	338	0	0	0	0	348	285	363	12464	708	4514	5514	1820	2982	12530	14960	7002	15392	64274	81958	277129	0	0
FFQ	121	0	0	0	0	0	0	0	0	0	0	0	0	588	453	5061	3241	10661	1490	622	847	0	0	0	0	365	278	693	15098	5274	6231	13692	2979	1137	15402	10433	17102	9101	86771	96802	205410	0	0
